Date,Transport_Type,Total_Ridership,Percent_compared_to_pre_pandemic_day
2021-11-09,Subways,3279457,58
2021-11-10,Subways,3351992,59
2021-11-11,Subways,2922235,116
2021-11-12,Subways,3158682,56
2021-11-13,Subways,2169863,69
2021-11-14,Subways,1703136,68
2021-11-15,Subways,3110969,55
2021-11-16,Subways,3340844,59
2021-11-17,Subways,3369069,60
2021-11-18,Subways,3412249,61
2021-11-19,Subways,3316999,59
2021-11-20,Subways,2135731,68
2021-11-21,Subways,1674206,66
2021-11-22,Subways,3130363,56
2021-11-23,Subways,3286591,58
2021-11-24,Subways,3085289,55
2021-11-25,Subways,1357198,54
2021-11-26,Subways,2089772,83
2021-11-27,Subways,1880422,60
2021-11-28,Subways,1465745,58
2021-11-29,Subways,2996015,53
2021-11-30,Subways,3207209,57
2021-12-01,Subways,3326469,62
2021-12-02,Subways,3358843,63
2021-12-03,Subways,3374097,63
2021-12-04,Subways,2318147,70
2021-12-05,Subways,1737352,68
2021-12-06,Subways,3135869,59
2021-12-07,Subways,3367790,63
2021-12-08,Subways,3378727,63
2021-12-09,Subways,3433600,64
2021-12-10,Subways,3417451,64
2021-12-11,Subways,2266265,68
2021-12-12,Subways,1829872,72
2021-12-13,Subways,3120850,58
2021-12-14,Subways,3274170,61
2021-12-15,Subways,3242168,61
2021-12-16,Subways,3219799,60
2021-12-17,Subways,3112088,58
2021-12-18,Subways,1880969,57
2021-12-19,Subways,1579809,62
2021-12-20,Subways,2716451,51
2021-12-21,Subways,2697325,51
2021-12-22,Subways,2634565,49
2021-12-23,Subways,2486489,47
2021-12-24,Subways,1575449,62
2021-12-25,Subways,810937,24
2021-12-26,Subways,1284738,51
2021-12-27,Subways,2007649,38
2021-12-28,Subways,2168419,41
2021-12-29,Subways,2167077,41
2021-12-30,Subways,2198415,41
2021-12-31,Subways,1627589,64
2022-01-01,Subways,1027918,38
2022-01-02,Subways,1219735,58
2022-01-03,Subways,2168229,42
2022-01-04,Subways,2289352,45
2022-01-05,Subways,2267942,44
2022-01-06,Subways,2391176,46
2022-01-07,Subways,2121941,41
2022-01-08,Subways,1486065,55
2022-01-09,Subways,1102472,53
2022-01-10,Subways,2347323,46
2022-01-11,Subways,2266378,44
2022-01-12,Subways,2459224,48
2022-01-13,Subways,2524197,49
2022-01-14,Subways,2522972,49
2022-01-15,Subways,1434676,53
2022-01-16,Subways,1165626,56
2022-01-17,Subways,1600048,77
2022-01-18,Subways,2541044,49
2022-01-19,Subways,2642129,51
2022-01-20,Subways,2545486,49
2022-01-21,Subways,2565781,50
2022-01-22,Subways,1583650,58
2022-01-23,Subways,1245716,60
2022-01-24,Subways,2536827,49
2022-01-25,Subways,2701246,53
2022-01-26,Subways,2711803,53
2022-01-27,Subways,2724979,53
2022-01-28,Subways,2703403,53
2022-01-29,Subways,999347,37
2022-01-30,Subways,1262477,60
2022-01-31,Subways,2575762,50
2022-02-01,Subways,2635083,49
2022-02-02,Subways,2940152,54
2022-02-03,Subways,2914198,54
2022-02-04,Subways,2725725,50
2022-02-05,Subways,1792780,63
2022-02-06,Subways,1323892,60
2022-02-07,Subways,2784230,51
2022-02-08,Subways,3016648,56
2022-02-09,Subways,3088775,57
2022-02-10,Subways,3112489,57
2022-02-11,Subways,3015472,56
2022-02-12,Subways,2026308,71
2022-02-13,Subways,1349864,62
2022-02-14,Subways,2907825,54
2022-02-15,Subways,3030742,56
2022-02-16,Subways,3100639,57
2022-02-17,Subways,3109956,57
2022-02-18,Subways,2953785,54
2022-02-19,Subways,1792136,62
2022-02-20,Subways,1477125,67
2022-02-21,Subways,1942267,89
2022-02-22,Subways,2669508,49
2022-02-23,Subways,2894245,53
2022-02-24,Subways,2858146,53
2022-02-25,Subways,2575630,47
2022-02-26,Subways,1824833,64
2022-02-27,Subways,1403227,64
2022-02-28,Subways,2915786,54
2022-03-01,Subways,3138181,56
2022-03-02,Subways,3208166,58
2022-03-03,Subways,3207495,58
2022-03-04,Subways,3077537,55
2022-03-05,Subways,1955535,64
2022-03-06,Subways,1444501,63
2022-03-07,Subways,2980920,54
2022-03-08,Subways,3244473,58
2022-03-09,Subways,3113559,56
2022-03-10,Subways,3339363,60
2022-03-11,Subways,3195956,57
2022-03-12,Subways,1663893,54
2022-03-13,Subways,1479406,65
2022-03-14,Subways,3008800,54
2022-03-15,Subways,3275906,59
2022-03-16,Subways,3332335,60
2022-03-17,Subways,3175784,57
2022-03-18,Subways,3275433,59
2022-03-19,Subways,2001839,65
2022-03-20,Subways,1656673,72
2022-03-21,Subways,3034759,55
2022-03-22,Subways,3276940,59
2022-03-23,Subways,3275708,59
2022-03-24,Subways,3212181,58
2022-03-25,Subways,3218970,58
2022-03-26,Subways,2024596,66
2022-03-27,Subways,1534056,67
2022-03-28,Subways,2989874,54
2022-03-29,Subways,3291883,59
2022-03-30,Subways,3336073,60
2022-03-31,Subways,3323135,60
2022-04-01,Subways,3237107,58
2022-04-02,Subways,2128435,67
2022-04-03,Subways,1463932,60
2022-04-04,Subways,3127667,56
2022-04-05,Subways,3356454,60
2022-04-06,Subways,3311547,59
2022-04-07,Subways,3307076,59
2022-04-08,Subways,3347754,60
2022-04-09,Subways,2190396,69
2022-04-10,Subways,1707748,70
2022-04-11,Subways,3205728,57
2022-04-12,Subways,3078069,55
2022-04-13,Subways,3220964,58
2022-04-14,Subways,3297697,59
2022-04-15,Subways,2761532,50
2022-04-16,Subways,1986306,63
2022-04-17,Subways,1512633,62
2022-04-18,Subways,2676254,48
2022-04-19,Subways,2962130,53
2022-04-20,Subways,3098046,56
2022-04-21,Subways,3033422,54
2022-04-22,Subways,2985684,54
2022-04-23,Subways,2109188,67
2022-04-24,Subways,1655860,68
2022-04-25,Subways,3026541,54
2022-04-26,Subways,3281657,59
2022-04-27,Subways,3432282,62
2022-04-28,Subways,3404938,61
2022-04-29,Subways,3257634,58
2022-04-30,Subways,2108746,67
2022-05-01,Subways,1683953,70
2022-05-02,Subways,2732825,48
2022-05-03,Subways,3402882,60
2022-05-04,Subways,3364902,59
2022-05-05,Subways,3502522,61
2022-05-06,Subways,3190556,56
2022-05-07,Subways,1842808,57
2022-05-08,Subways,1582133,66
2022-05-09,Subways,3114506,54
2022-05-10,Subways,3412902,60
2022-05-11,Subways,3440378,60
2022-05-12,Subways,3430104,60
2022-05-13,Subways,3252002,57
2022-05-14,Subways,2149046,67
2022-05-15,Subways,1760359,74
2022-05-16,Subways,3080043,54
2022-05-17,Subways,3536021,62
2022-05-18,Subways,3605606,63
2022-05-19,Subways,3467327,61
2022-05-20,Subways,3271914,57
2022-05-21,Subways,2324245,72
2022-05-22,Subways,1760638,74
2022-05-23,Subways,3111755,54
2022-05-24,Subways,3378506,59
2022-05-25,Subways,3426530,60
2022-05-26,Subways,3341059,58
2022-05-27,Subways,3031130,53
2022-05-28,Subways,1872775,58
2022-05-29,Subways,1755236,73
2022-05-30,Subways,1694970,71
2022-05-31,Subways,3176109,56
2022-06-01,Subways,3381297,60
2022-06-02,Subways,3351902,60
